Year,Quarter,CIPH Rate (%)
2007,1,2.8
2007,2,2.6
2007,3,2.0
2007,4,2.3
2008,1,2.5
2008,2,3.3
2008,3,4.5
2008,4,3.7
2009,1,2.9
2009,2,2.0
2009,3,1.4
2009,4,1.6
2010,1,2.4
2010,2,2.5
2010,3,2.3
2010,4,2.7
2011,1,3.5
2011,2,3.8
2011,3,4.0
2011,4,4.0
2012,1,3.1
2012,2,2.5
2012,3,2.2
2012,4,2.4
2013,1,2.5
2013,2,2.4
2013,3,2.4
2013,4,1.9
2014,1,1.6
2014,2,1.6
2014,3,1.5
2014,4,1.1
2015,1,0.4
2015,2,0.3
2015,3,0.4
2015,4,0.4
2016,1,0.7
2016,2,0.7
2016,3,1.0
2016,4,1.5
2017,1,2.2
2017,2,2.6
2017,3,2.7
2017,4,2.8
2018,1,2.5
2018,2,2.2
2018,3,2.3
2018,4,2.1
2019,1,1.8
2019,2,2.0
2019,3,1.8
2019,4,1.4
2020,1,1.7
2020,2,0.8
2020,3,0.8
2020,4,0.8
2021,1,0.9
2021,2,2.1
2021,3,2.7
2021,4,4.4
2022,1,5.5
2022,2,7.9
2022,3,8.7
2022,4,9.4
2023,1,9.0
2023,2,7.7